Hour,GROUND_R5_Temp,GROUND_R5_Humidity,UPPER_R5_Temp,UPPER_R5_Humidity,District Heating Water Energy : HOT WATER LOOP DISTRICT HEATING,DistrictCooling:Facility : None,Electricity:Facility : None,Fans:Electricity : None,InteriorEquipment:Electricity : None,InteriorLights:Electricity : None,Pumps:Electricity : None,Water:Facility : None,Total Energy
96,21.531058854613814,59.78682934612595,21.19158298208655,43.276271456978584,489914350.1596372,86905405.32130924,90425684.16209294,8673228.299255883,64510710.61825748,14968356.060171671,2273389.1844079173,0.21570813091866772,282698935.98907506
97,21.53123897732058,59.5395875098535,21.03112021385932,46.22973127654944,499873642.13756824,82678231.38707244,72995372.91747196,8673228.299255883,49884138.24231657,12278055.081989996,2159951.2939095097,0.059505691287907315,267179330.75901884
98,21.531527318091076,59.09726408581705,20.896825234315703,47.01637763127295,502312311.3367624,78396607.93073612,68609169.09838395,8673228.299255883,45571976.87178277,12278055.081989996,2085908.8453552956,0.029752845643953606,262178808.8542168
99,21.53169097865202,58.158437727402195,20.797206779033345,45.62846292382446,503006877.34518313,74973656.37440424,66448263.97508758,8673228.299255883,43415896.1865159,12278055.081989996,2081084.4073258054,0.007438211410988301,259108441.8816167
100,21.53217563702152,56.72376381067226,20.685748511655095,43.57336223635833,503471680.17307496,69840119.31986117,65380950.89290236,8673228.299255883,42337855.84388244,12278055.081989996,2091811.6677740384,0.007438211410988301,256484884.05721438
101,21.531849117818624,55.07174853839813,20.632752832551876,42.01683909332095,502718711.64984745,67032350.53686309,69613426.51811568,8673228.299255883,42949903.765588544,15865123.000067241,2125171.453204028,0.029752845643953606,259530447.2470192
102,21.531558201484753,53.64979062910655,20.61994124670103,41.35464355169066,500489674.895316,65233055.1321081,82518527.39021645,8673228.299255883,49564201.322168,22142492.054821134,2138605.713971442,0.2008317080966909,271092770.73269117
103,21.53103030916871,53.36501120084685,20.607249253864026,41.57322787487657,495810087.23007536,61379524.48003473,97685324.21686777,8673228.299255883,63870836.777960315,23039258.9947167,2102000.144934883,0.6991918726329261,283415194.78690445
104,21.681406774351206,53.19394994686801,20.713970769841385,41.56912307705975,497025619.02932256,57353076.95640716,110141461.9342335,8673228.299255883,77345033.15809168,22142492.054821134,1980708.422064807,0.7438211410988574,294934360.5961434
105,21.685573533023447,53.4629031063158,20.72127657427261,42.355218431392466,498684091.4006327,73415836.64865607,110237126.8375714,8673228.299255883,80490464.82972063,18878146.32000185,2195287.3885930288,0.7140682954549032,300937102.8540009
106,21.684534943119754,53.62539962597355,20.771782159336617,43.75141780964004,502395887.73607993,81027047.50663626,107747391.4090764,8673228.299255883,79732361.40723576,17084612.28171575,2257189.420868966,0.62480975852304,302221703.15664846
107,21.684759940697337,56.64533676676741,20.949810134072866,46.796490928665236,501846790.1055168,104333902.81635629,107617540.35439527,8673228.299255883,79440250.40567827,17084612.28171575,2419449.3677453753,0.5653040672351312,309677771.3283529
108,21.685931734851835,59.992169831876566,20.994720878948105,49.30002988881501,489487264.7341744,115051955.68085179,108666423.36092466,8673228.299255883,80518290.7483117,17084612.28171575,2390292.0316413394,0.4537308960703022,310179496.83260006
109,21.686684289776938,61.50232758031107,21.028890108182633,49.333107325801954,468318197.64363647,123637054.65571977,106940347.8624929,8673228.299255883,79247091.02574714,16647577.676767655,2372450.8607222377,0.3942252047823942,304258765.2956116
110,21.685988656372633,60.672565203218035,21.149208311185767,48.6297277285237,440601847.911721,136316429.72900984,104358356.87892826,8673228.299255883,76206129.37777792,17084612.28171575,2394386.9201787007,0.3495959363164626,296664449.42583853
111,21.686630732571185,60.729866739500864,21.24978388498162,49.07917226297454,421760503.52254605,145647181.53157723,103304691.02065495,8673228.299255883,75128089.03514448,17084612.28171575,2418761.4045388377,0.30496666785053084,292440586.03869605
112,21.686508759492455,60.70981076589198,21.262966817691247,49.16197694397206,419739422.6875709,143252727.30418557,109185711.14038834,8673228.299255883,78362210.0630448,19774913.4183924,2375359.359695242,0.3495959363164626,296849761.1376405
113,21.68569197762648,60.695204169747846,21.35716004072616,50.18473519039234,422054919.3537908,138812310.6460756,130736759.12091331,8673228.299255883,93746885.8614706,26052282.314651314,2264362.6455355166,0.40910162760437124,317692502.4542021
114,21.60797310726512,61.09749281370592,21.440713288980387,50.40239315575378,425272583.5235495,130384672.48404466,154336102.8854554,8673228.299255883,115076445.1502623,28419860.95108005,2166568.4848571406,0.5429894330021654,339555188.22132015
115,21.530072166790646,61.488143800744474,21.395736915151417,48.45199084901318,435229718.6791464,114758676.90210189,160180939.69361734,8673228.299255883,114684788.38251103,34697230.00583395,2125693.0060164784,0.6396861813450169,343510404.8873668
116,21.529414767200496,62.139470176513406,21.438614009880308,46.10868470742957,436556717.7312011,108637615.37282994,155974389.77130592,8673228.299255883,105914410.14066473,39181065.02230175,2205686.3090835977,0.6099333357010631,337705834.13931626
117,21.529566394671743,62.16545401797894,21.49786159873632,44.50474661753088,436947002.29822886,106856888.74901004,151688087.32610172,8673228.299255883,101602248.77013095,39181065.02230175,2231545.2344131684,0.5578658558241428,332956051.0085147
118,21.529517792713374,61.810254007787705,21.39398119561778,44.940565637525395,457654285.21699184,95574996.59174581,137110319.2236771,8673228.299255883,96065991.55618495,30213394.989366166,2157704.3788701254,0.4537308960703022,321520079.82658964
119,21.530226065782543,61.67903294439344,21.23139506053819,45.24646029061501,477506811.04347265,87804393.43511856,111815358.42890362,8673228.299255883,79749330.91590448,21245724.9564306,2147074.257312685,0.3942252047823942,300252426.588434
120,21.530768254007597,61.76172320759034,21.24649112292003,45.623014134012465,478492183.2925956,91321254.820618,90337477.89315596,8673228.299255883,64510710.61825748,14968356.060171671,2185182.915470934,0.21570813091866772,280275290.5975605
