Hour,Hydrogen_Produced_kg,Hydrogen_Stored_kg,Hydrogen_Used_kg,Electrolysis_Heat_Gain_kWh,FuelCell_Heat_Gain_kWh,Electrolysis Heat Consummed_kW,Energy_Consumption_kWh,Generated_PV_Power_kW,P_net_kW,Electrolysis Energy Consummed_kW,Fuel Cell Generated Energy_kWh,Useful_Energy_After_Storage_kWh,Water_Waste_filtered_kg,Tap_Water_Used_kg,Water_Needed_kg,Water_Produced_in_FuelCell_kg
106,2.767754551313367,3.7734583954145346,0.0,46.12462959763726,0.0,1.928202337414979,86.0216031467647,239.77036847222223,153.74876532545753,153.74876532545753,0.0,86.0216041264268,113.06081344702623,24.909790961820303,24.909790961820303,0.0
107,3.991909931830183,7.765368327244717,0.0,66.52517901395,0.0,2.7810305858416933,86.1609713423889,307.91156805555556,221.75059671316666,221.75059671316666,0.0,86.16097274273156,90.74617921406045,35.927189386471646,35.927189386471646,0.0
108,4.654564269948937,12.419932597193654,0.0,77.56831355869903,0.0,3.2426797747310925,84.51632369322544,343.0773688888889,258.56104519566344,258.56104519566344,0.0,84.51632453061687,78.84504095647884,41.89107842954043,41.89107842954043,0.0
109,4.649143172188027,17.06907576938168,0.0,77.47797096451346,0.0,3.238903076624325,82.40679150717737,340.66669472222225,258.25990321504486,258.25990321504486,0.0,82.406787927254,69.91918726329251,41.84228854969224,41.84228854969224,0.0
110,4.034571736980218,21.1036475063619,0.0,67.23613799677533,0.0,2.810751643429551,81.23349612186001,305.35395611111113,224.12045998925112,224.12045998925112,0.0,81.23349897618543,60.99333357010616,36.31114563282196,36.31114563282196,0.0
111,2.5737342797397713,23.67738178610167,0.0,42.891281771863284,0.0,1.7930348815520405,82.45826698267791,225.4292062222222,142.9709392395443,142.9709392395443,0.0,82.45826937860716,69.91918726329251,23.16360851765794,23.16360851765794,0.0
112,0.04210164539352874,23.7194834314952,0.0,0.7016239204831564,0.0,0.029330812957491684,88.24791734838948,90.58666375,2.3387464016105213,2.3387464016105213,0.0,88.2479172515728,81.82032552087425,0.37891480854175863,0.37891480854175863,0.0
113,0.0,20.594170900242073,3.1253125312531256,0.0,15.0,0.0,94.32088561703335,8.807970233333334,-85.51291538370002,0.0,75.0,83.80797023333334,108.59788660043309,0.0,0.0,28.12781278127813
114,0.0,17.468858368988947,3.1253125312531256,0.0,15.0,0.0,95.41955691315744,0.19513657552777777,-95.22442033762965,0.0,75.0,75.19513657552778,127.93723626900338,0.0,0.0,28.12781278127813
115,0.0,14.343545837735821,3.1253125312531256,0.0,15.0,0.0,93.80717614981008,0.0,-93.80717614981008,0.0,75.0,75.0,121.98666714021263,0.0,0.0,28.12781278127813
116,0.0,11.218233306482695,3.1253125312531256,0.0,15.0,0.0,92.48779194680964,0.0,-92.48779194680964,0.0,75.0,75.0,111.57317116482857,0.0,0.0,28.12781278127813
117,0.0,8.092920775229569,3.1253125312531256,0.0,15.0,0.0,89.31113328516379,0.0,-89.31113328516379,0.0,75.0,75.0,90.74617921406045,0.0,0.0,28.12781278127813
118,0.0,4.967608243976443,3.1253125312531256,0.0,15.0,0.0,83.40345183012055,0.0,-83.40345183012055,0.0,75.0,75.0,78.84504095647884,0.0,0.0,28.12781278127813
119,0.0,1.8422957127233173,3.1253125312531256,0.0,15.0,0.0,77.85424738821126,0.0,-77.85424738821126,0.0,75.0,75.0,43.14162618373354,0.0,0.0,28.12781278127813
120,0.0,0.0,1.8422957127233173,0.0,8.842135119129814,0.0,74.39861669396366,0.0,-74.39861669396366,0.0,44.21067559564907,44.21067559564907,11.901138257581461,0.0,0.0,16.580661414509855
121,0.0,0.0,0.0,0.0,0.0,0.0,73.57394250442304,0.0,-73.57394250442304,0.0,0.0,0.0,5.95056912879072,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0,0.0,0.0,71.97813339710655,0.0,-71.97813339710655,0.0,0.0,0.0,1.4876422821976603,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0,0.0,0.0,70.85248811574793,0.0,-70.85248811574793,0.0,0.0,0.0,1.4876422821976603,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0,0.0,0.0,72.01097252210825,0.0,-72.01097252210825,0.0,0.0,0.0,5.95056912879072,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0,0.0,0.0,74.34741177300207,0.0,-74.34741177300207,0.0,0.0,0.0,40.16634161933818,0.0,0.0,0.0
126,0.0,0.0,0.0,0.0,0.0,0.0,78.85920649198279,0.0,-78.85920649198279,0.0,0.0,0.0,139.83837452658523,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0,0.0,0.0,82.69714946934577,0.0,-82.69714946934577,0.0,0.0,0.0,148.7642282197715,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0,0.0,0.0,83.20231114837507,30.996340055555557,-52.20597109281952,0.0,0.0,30.996340055555557,142.81365909098065,0.0,0.0,0.0
129,0.6695487468012332,0.6695487468012332,0.0,11.15802986544255,0.0,0.4664522936048591,84.2973509763026,121.4907838611111,37.1934328848085,37.1934328848085,0.0,84.29734979425425,124.961951704608,6.025938721211099,6.025938721211099,0.0
130,1.0969095225941523,1.7664582693953856,0.0,18.279997194031548,0.0,0.7641803007405927,85.40267676989485,146.33600075,60.93332398010516,60.93332398010516,0.0,85.40267645759991,113.06081344702626,9.872185703347371,9.872185703347371,0.0
131,1.0277072924981294,2.7941655618935153,0.0,17.126742029481324,0.0,0.7159694137736968,85.90392587395112,142.9930659722222,57.08914009827109,57.08914009827109,0.0,85.90392748201766,90.74617921406045,9.249365632483165,9.249365632483165,0.0
